dbn,school_name,school_type,latitude,longitude,neighborhood,student_rating,student_score
01M015,P.S. 015 Roberto Clemente,elementary,40.722075,-73.978747,Lower East Side,exceeding_target,4.86
01M019,P.S. 019 Asher Levy,elementary,40.730009,-73.984496,East Village,exceeding_target,4.09
01M020,P.S. 020 Anna Silver,elementary,40.721305,-73.986312,Noho,meeting_target,3.82
01M034,P.S. 034 Franklin D. Roosevelt,middle_school,40.726008,-73.975058,Stuyvesant Town,not_meeting_target,1.74
01M063,The STAR Academy - P.S.63,elementary,40.72444,-73.986214,Noho,meeting_target,3.15
01M064,P.S. 064 Robert Simon,elementary,40.72313,-73.981597,East Village,exceeding_target,4.15
01M110,P.S. 110 Florence Nightingale,elementary,40.7162,-73.9798,Lower East Side,meeting_target,3.86
01M134,P.S. 134 Henrietta Szold,elementary,40.714248,-73.983854,Lower East Side,meeting_target,3.66
01M140,P.S. 140 Nathan Straus,middle_school,40.719148,-73.983769,Lower East Side,approaching_target,2.71
01M142,P.S. 142 Amalia Castro,elementary,40.718121,-73.984116,Lower East Side,meeting_target,3.51
01M184,P.S. 184m Shuang Wen,middle_school,40.711125,-73.985438,Chinatown,exceeding_target,4.63
01M188,P.S. 188 The Island School,middle_school,40.719888,-73.97738,Lower East Side,meeting_target,3.4
01M292,Orchard Collegiate Academy,high_school,40.713362,-73.986051,Chinatown,meeting_target,3.89
01M315,The East Village Community School,elementary,40.727537,-73.978254,East Village,meeting_target,3.31
01M332,University Neighborhood Middle School,middle_school,40.713362,-73.986051,Chinatown,approaching_target,2.34
01M361,The Children's Workshop School,elementary,40.727537,-73.978254,East Village,approaching_target,2.57
01M363,Neighborhood School,elementary,40.72444,-73.986214,Noho,nan,
01M364,Earth School,elementary,40.72313,-73.981597,East Village,nan,
01M378,School for Global Leaders,middle_school,40.72004,-73.986038,Noho,meeting_target,3.05
01M448,University Neighborhood High School,high_school,40.712269,-73.984128,Lower East Side,exceeding_target,4.11
01M450,East Side Community School,high_school,40.729152,-73.982472,East Village,meeting_target,3.99
01M509,Marta Valle High School,high_school,40.72004,-73.986038,Noho,meeting_target,3.27
01M539,"New Explorations into Science, Technology and Math",high_school,40.719416,-73.979581,Lower East Side,exceeding_target,4.66
01M696,Bard High School Early College,high_school,40.718276,-73.976093,Lower East Side,exceeding_target,4.49
01M839,Tompkins Square Middle School,middle_school,40.72313,-73.981597,East Village,exceeding_target,4.0
02M001,P.S. 001 Alfred E. Smith,elementary,40.71255,-73.997478,Little Italy,meeting_target,3.74
02M002,P.S. 002 Meyer London,elementary,40.712907,-73.991523,Chinatown,exceeding_target,4.74
02M003,P.S. 003 Charrette School,elementary,40.732603,-74.005949,West Village,meeting_target,3.61
02M006,P.S. 006 Lillie D. Blake,elementary,40.777737,-73.960427,Upper East Side,exceeding_target,4.31
02M011,P.S. 011 William T. Harris,elementary,40.744186,-74.000743,"Chelsea, Manhattan",meeting_target,3.84
02M033,P.S. 033 Chelsea Prep,elementary,40.749014,-74.000238,"Chelsea, Manhattan",approaching_target,2.68
02M040,P.S. 040 Augustus Saint-Gaudens,elementary,40.735328,-73.981536,Gramercy,exceeding_target,4.05
