venue_type
restaurant
Amphitheater
Aquarium
Arcade
Art Gallery
Bowling Alley
Comedy Club
Concert Hall
Country Dance Club
Disc Golf
Exhibit
General Entertainment
Go Kart Track
Historic Site
Karaoke Box
Laser Tag
Memorial Site
Mini Golf
Drive-in Theater
Indie Movie Theater
Multiplex
Art Museum
History Museum
Planetarium
Science Museum
Jazz Club
Piano Bar
Rock Club
Pachinko Parlor
Dance Studio
Indie Theater
Opera House
Theater
Pool Hall
Outdoor Sculpture
Street Art
Racecourse
Racetrack
Roller Rink
Salsa Club
Samba School
Baseball Stadium
Basketball Stadium
Cricket Ground
Football Stadium
Hockey Arena
Rugby Stadium
Soccer Stadium
Tennis Stadium
Track Stadium
Theme Park Ride / Attraction
Tour Provider
Water Park
Zoo Exhibit
Badminton Court
Baseball Field
Basketball Court
Bowling Green
Curling Ice
Golf Course
Golf Driving Range
Gym / Fitness Center
Hockey Field
Hockey Rink
Paintball Field
Rugby Pitch
Skate Park
Skating Rink
Soccer Field
Sports Club
Squash Court
Tennis Court
Volleyball Court
Bay
Surf Spot
Bike Trail
Botanical Garden
Bridge
Campground
Farm
Forest
Garden
Harbor / Marina
Hill
Indoor Play Area
Island
Lake
Lighthouse
National Park
Other Great Outdoors
Park
Playground
Pool
Recreation Center
River
Waterfront
Outdoor Event Space
Factory
Fire Station
Monument / Landmark
Police Station
Library
Dentist's Office
Doctor's Office
Hospital
Urgent Care Center
Post Office
Prison
Private School
Bank
Department Store
Drugstore
Farmers Market
Food Service
Gourmet Shop
Grocery Store
Organic Grocery
Supermarket
Pet Service
Pet Store
Pharmacy
Salon / Barbershop
Shopping Mall
Shopping Plaza
Storage Facility
Bike Rental / Bike Share
Bus Line
Bus Stop
Metro Station
Train
Transportation Service
