neighborhood,venue,venue_type
Wakefield,Lollipops Gelato,Dessert Shop
Wakefield,Ripe Kitchen & Bar,Caribbean Restaurant
Wakefield,Ali's Roti Shop,Caribbean Restaurant
Wakefield,Carvel Ice Cream,Ice Cream Shop
Wakefield,Jimbo's,Burger Joint
Wakefield,Rite Aid,Pharmacy
Wakefield,Jackie's West Indian Bakery,Caribbean Restaurant
Wakefield,Walgreens,Pharmacy
Wakefield,Dunkin',Donut Shop
Wakefield,Rite Aid,Pharmacy
Wakefield,Cooler Runnings Jamaican Restaurant Inc,Caribbean Restaurant
Wakefield,SUBWAY,Sandwich Place
Wakefield,Walgreens,Pharmacy
Wakefield,Shell,Gas Station
Wakefield,T-Mobile,Mobile Phone Shop
Wakefield,Popeyes Louisiana Kitchen,Fried Chicken Joint
Wakefield,Dunkin',Donut Shop
Wakefield,Foodtown,Supermarket
Wakefield,Fine Fare,Supermarket
Wakefield,Domino's Pizza,Pizza Place
Wakefield,Chase Bank,Bank
Wakefield,E&L Bakery,Bakery
Wakefield,McDonald's,Fast Food Restaurant
Wakefield,Shell,Gas Station
Wakefield,Capital One Bank,Bank
Wakefield,Pitman Deli,Food
Wakefield,McDonald's,Fast Food Restaurant
Wakefield,Rite Aid,Pharmacy
Wakefield,McDonald's,Fast Food Restaurant
Wakefield,Dunkin',Donut Shop
Wakefield,Popeyes Louisiana Kitchen,Fried Chicken Joint
Wakefield,Deals,Discount Store
Wakefield,Shell,Gas Station
Wakefield,Rite Aid,Pharmacy
Wakefield,Hong Kong China King,Chinese Restaurant
Wakefield,Him Health Food Market,Food
Wakefield,Island Juice Bar,Juice Bar
Wakefield,Key Food,Supermarket
Wakefield,Wakefield Deli,Deli / Bodega
Wakefield,D & A Deli,Convenience Store
Wakefield,Crown Fried Chicken,Southern / Soul Food Restaurant
Wakefield,7&7 Deli,Deli / Bodega
Wakefield,MTA Subway - 233rd St (2/5),Metro Station
Wakefield,New Everlasting Nails,Cosmetics Shop
Wakefield,Seton Falls Park,Park
Wakefield,Michael's Florist,Flower Shop
Co-op City,Dumplin Shop,Dumpling Restaurant
Co-op City,Panera Bread,Bakery
Co-op City,Red Lobster,Seafood Restaurant
Co-op City,Sangria Cafe,Spanish Restaurant
Co-op City,Stop & Shop,Supermarket
Co-op City,Country Thyme Cuisine,Caribbean Restaurant
Co-op City,The Cookie Factory,Bakery
Co-op City,Chipotle Mexican Grill,Mexican Restaurant
Co-op City,Dollar Tree,Discount Store
Co-op City,Rite Aid,Pharmacy
Co-op City,Bay Plaza Shopping Center,Shopping Mall
Co-op City,Carter's,Kids Store
Co-op City,Five Below,Discount Store
Co-op City,DSW,Shoe Store
Co-op City,Dallas BBQ,BBQ Joint
Co-op City,Dunkin',Donut Shop
Co-op City,Bagels on Bartow,Bagel Shop
Co-op City,Capri II Pizza,Pizza Place
Co-op City,Rite Aid,Pharmacy
Co-op City,DSW Designer Shoe Warehouse,Shoe Store
Co-op City,Mattress Firm,Mattress Store
